time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,train/approx_kl,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/clip_fraction
99,968.3,9195,202752,523.71904531,22,0.0003,0.09341098,0.37941980361938477,0.2,3.0349987332243473,0.8570672273635864,0.007385309298115317,-1.0790539970621467,980,0.399267578125
100,968.3,9280,204800,516.3747986599999,22,0.0003,0.019334838,0.3408929705619812,0.2,1.9638546749250962,0.8616477251052856,0.01855600421113195,-0.8832451463676989,990,0.308251953125
101,968.3,9367,206848,508.07432194999996,22,0.0003,0.007604965,0.1313331425189972,0.2,1.0979639339610003,0.05401211977005005,0.0034586792906338816,-1.0119346283376216,1000,0.231494140625
102,968.3,9454,208896,499.34741624000003,22,0.0003,0.03315632,0.29351022839546204,0.2,0.7578484939411283,0.5816467106342316,0.0007665740071388427,-1.126124986447394,1010,0.24794921875
103,968.3,9541,210944,493.3500962300001,22,0.0003,0.010225356,0.09715687483549118,0.2,0.5498024899803567,0.7863302975893021,-0.0039472531912906565,-0.8719501823186875,1020,0.128759765625
104,968.3,9626,212992,486.06376359,22,0.0003,0.015555007,0.1830834448337555,0.2,0.4414091768558137,0.6405426561832428,-0.0013261677231639624,-0.8219582354649901,1030,0.140283203125
105,968.3,9714,215040,468.39002552,22,0.0003,0.009981459,0.012134571559727192,0.2,0.32013701903633773,0.7504576146602631,-0.0007094109038007446,-0.7663794024847448,1040,0.101953125
106,968.3,9800,217088,458.13327284,22,0.0003,0.015929312,0.0059874169528484344,0.2,0.30715626875171437,0.5755054652690887,-0.006916197729879059,-1.2411483507603407,1050,0.1279296875
107,968.3,9888,219136,447.2018094400001,22,0.0003,0.024598498,0.10091537237167358,0.2,0.2824908966431394,0.7479952871799469,-0.0030301666003651915,-0.776913982629776,1060,0.14638671875
108,968.3,9975,221184,439.67135489,22,0.0003,0.006272343,0.014194346964359283,0.2,0.18061141768703237,0.7337398827075958,-0.00833451409562258,-0.9058590499684215,1070,0.085107421875
109,968.3,10061,223232,432.07061879,22,0.0003,0.005991713,0.012042486108839512,0.2,0.09922517510131001,0.7636291086673737,-0.004466788533318322,-0.6049284301698208,1080,0.062255859375
110,968.3,10273,225280,421.21522983,21,0.0003,0.009804936,-0.007944183424115181,0.2,0.09648832476814277,0.8781463727355003,-0.007878715184051543,-0.5518665376119316,1090,0.071435546875
111,968.3,10358,227328,403.22367251,21,0.0003,0.0051109763,-0.0006227418780326843,0.2,0.07508540966082364,0.8876207023859024,-0.010151311991648981,-0.4710700461640954,1100,0.040771484375
112,968.3,10443,229376,391.18782720999997,21,0.0003,0.017678842,0.04994465783238411,0.2,0.12013776787498501,0.8419570773839951,-0.008291982380615081,-0.516815732512623,1110,0.091552734375
113,968.3,10529,231424,386.6947345,21,0.0003,0.0064774062,0.11188480257987976,0.2,0.06113986612617737,0.8211950212717056,-0.00568253652745625,-0.3300074140075594,1120,0.050634765625
114,974.44,10614,233472,381.7516993499999,21,0.0003,0.0077334098,0.05126543343067169,0.2,0.18229787414893509,0.8775452896952629,-0.0039619309674890245,-0.7707555240020156,1130,0.08173828125
115,974.44,10702,235520,370.64365308999993,22,0.0003,0.01195368,0.04256975278258324,0.2,0.24539531888440252,0.7643512636423111,-0.008782057899225038,-0.8514871442690491,1140,0.119189453125
116,977.5,10787,237568,362.08685095999994,22,0.0003,0.0114935925,0.08792850375175476,0.2,0.3805691634770483,0.4367485046386719,-0.00824430508655496,-1.311484745517373,1150,0.17548828125
117,977.5,10873,239616,347.49842170999995,22,0.0003,0.010400781,0.13122668862342834,0.2,0.3485396546777338,0.6371106803417206,-0.0063729247747687625,-1.097309935092926,1160,0.13623046875
118,983.2,10959,241664,336.8110100099999,22,0.0003,0.011516996,0.12750451266765594,0.2,0.35991126836743204,0.5547530055046082,-0.010433427277894225,-1.1931529838591814,1170,0.120068359375
119,987.29,11047,243712,330.60732913,22,0.0003,0.009267939,0.12630344927310944,0.2,0.3874399605439976,0.4863542914390564,-0.011406982813059584,-1.169155526161194,1180,0.142431640625
120,988.63,11133,245760,327.09287161,22,0.0003,0.011552103,0.07220842689275742,0.2,0.4302149855298921,0.5611692368984222,-0.00944313100189902,-1.285511089861393,1190,0.116796875
121,990.94,11219,247808,313.35170486000004,22,0.0003,0.014784174,0.06208743155002594,0.2,0.4218509514350444,0.5217046439647675,-0.018897566718806047,-1.3078259222209454,1200,0.18349609375
122,997.1,11304,249856,305.16779163,22,0.0003,0.010470623,0.11609532684087753,0.2,0.2916725115617737,0.6868995130062103,-0.014515456516528502,-1.2157968766987324,1210,0.167041015625
123,997.1,11514,251904,292.06737284,21,0.0003,0.012406277,0.04018571227788925,0.2,0.36607467331923543,0.5646788775920868,-0.015640906654880382,-1.25520809404552,1220,0.16162109375
124,997.1,11601,253952,285.33071414,21,0.0003,0.015866265,0.08937238156795502,0.2,0.3245168389054015,0.5106922388076782,-0.01301819551445078,-1.2120287895202637,1230,0.167529296875
125,997.1,11688,256000,274.91269404999997,21,0.0003,0.01733163,0.015103779733181,0.2,0.4074710205662996,0.7072639465332031,-0.02521898210834479,-1.267966916412115,1240,0.199365234375
126,997.1,11774,258048,254.77229232999997,21,0.0003,0.02664318,0.014954570680856705,0.2,0.2604229254298843,0.6625069379806519,-0.023288325997418723,-1.2518640201538802,1250,0.23466796875
127,997.1,11867,260096,239.35260022000006,21,0.0003,0.01935882,0.0016827099025249481,0.2,0.2049891751841642,0.7970107197761536,-0.02788627254703897,-1.2354103513062,1260,0.24189453125
128,997.1,11953,262144,224.90534147000002,21,0.0003,0.018010214,0.030955743044614792,0.2,0.24923329361481592,0.7269263863563538,-0.03226384063164005,-1.2896353911608458,1270,0.237646484375
129,997.1,12039,264192,215.70680657,21,0.0003,0.015775606,0.01753353700041771,0.2,0.2984797927783802,0.6919147670269012,-0.02682591629854869,-1.2599447388201952,1280,0.21708984375
130,997.1,12123,266240,204.26478263,21,0.0003,0.018023156,0.0024170689284801483,0.2,0.2606916833901778,0.824547216296196,-0.03326476252404973,-1.288656695187092,1290,0.23037109375
131,997.1,12209,268288,188.94827416000004,21,0.0003,0.018842531,0.027729790657758713,0.2,0.2728226103587076,0.8122597932815552,-0.03312200531945564,-1.2918244440108537,1300,0.261669921875
132,997.81,12295,270336,173.54941964000002,21,0.0003,0.018929068,0.006406895816326141,0.2,0.2295316963805817,0.8539751619100571,-0.034208949543244674,-1.269590923562646,1310,0.251611328125
133,997.81,12381,272384,157.37165105000003,21,0.0003,0.020980233,0.11587221920490265,0.2,0.3747367202769965,0.6248314082622528,-0.03312313677743077,-1.1927023638039826,1320,0.2765625
134,997.81,12466,274432,140.45592565000004,22,0.0003,0.020617371,0.005995944142341614,0.2,0.37376484980341046,0.6760700643062592,-0.03806329935614485,-1.2575654458254575,1330,0.237939453125
135,997.81,12670,276480,126.15716995000001,21,0.0003,0.022066418,0.03789149224758148,0.2,0.6430071168579161,0.6237488389015198,-0.03336458719277289,-1.1834968898445368,1340,0.28681640625
