algorithm,training_seed,timesteps,n_validation_tracks,mean_validation_reward,std_validation_reward_across_tracks,median_validation_reward,min_validation_reward,max_validation_reward,mean_validation_episode_length
ppo,10,425000,5,332.71201099999996,262.6462185481547,347.949527,36.111111,771.698113,1000.0
ppo,10,450000,5,565.3300962000001,228.99102508643824,435.315985,350.0,878.26087,1000.0
ppo,10,475000,5,443.91011359999993,292.6166999596131,420.504732,100.743494,805.797101,1000.0
ppo,10,500000,5,159.60766640000003,161.22298154471437,71.003717,5.072464,401.886792,1000.0
ppo,10,525000,5,196.36302759999998,100.5593701744166,212.302839,52.777778,327.536232,1000.0
ppo,10,550000,5,47.7645632,58.6106438612604,9.433962,-5.362776,141.635688,1000.0
ppo,10,575000,5,364.61596499999996,270.4413872366336,379.495268,61.111111,758.695652,1000.0
ppo,10,600000,5,499.378568,157.89950319462824,409.433962,372.222222,784.057971,1000.0
ppo,10,625000,5,451.77049139999997,157.21314725222464,435.849057,263.888889,693.478261,1000.0
ppo,10,650000,5,420.8162888,244.14809769078877,382.649842,75.0,697.101449,1000.0
ppo,10,675000,5,541.8187746,139.02579413916752,606.319703,330.555556,722.641509,1000.0
ppo,10,700000,5,624.4829782,185.9026011152605,533.962264,436.111111,852.898551,1000.0
ppo,10,725000,5,472.63902599999994,212.67559276702244,376.340694,241.666667,863.768116,1000.0
ppo,10,750000,5,450.2587716,292.33115327017117,373.18612,30.555556,838.405797,1000.0
ppo,10,775000,5,422.417341,369.560688330414,429.968454,-61.111111,881.884058,1000.0
ppo,10,800000,5,375.3774648,355.48274943771935,341.640379,-61.111111,885.507246,1000.0
ppo,10,825000,5,724.9445069999999,116.45843905095062,788.475836,525.0,838.405797,1000.0
ppo,10,850000,5,592.1549202,320.1218636770752,788.475836,44.444444,889.130435,1000.0
ppo,10,875000,5,591.4339400000001,190.7167827753572,729.710145,327.777778,773.605948,1000.0
ppo,10,900000,5,528.158503,210.95661241823063,671.73913,180.555556,721.561338,1000.0
ppo,10,925000,5,448.25142840000007,255.60781398065618,388.958991,63.568773,756.603774,1000.0
ppo,10,950000,5,359.72572199999996,305.50187206114356,379.495268,-5.797101,706.69145,1000.0
ppo,10,975000,5,552.3614466,150.81432063904444,580.297398,291.666667,703.773585,1000.0
ppo,10,1000000,5,440.4267988,73.14300328432981,404.731861,356.603774,541.304348,1000.0
ppo,11,25000,5,152.62083,202.8303218667316,58.173606,-65.253943,485.066667,441.4
ppo,11,50000,5,274.0844412,295.4318934783326,190.22082,-5.4,827.536232,630.0
ppo,11,75000,5,390.74623060000005,228.5231308972075,357.413249,89.591078,798.550725,1000.0
ppo,11,100000,5,208.7498542,212.27713150461878,194.339623,-5.555556,595.652174,1000.0
ppo,11,125000,5,315.7313612,292.4639463313893,284.694953,36.111111,863.768116,824.6
ppo,11,150000,5,618.2681224,329.91244936440506,775.471698,-11.577778,926.6,814.6
