time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,train/loss,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,rollout/exploration_rate,train/learning_rate
600,18428,999.7,32,0.17035014927387238,599203,149675,85.43508507,0.05,0.0001
604,18620,999.7,32,0.16647833585739136,603203,150675,92.42676671,0.05,0.0001
608,18739,999.7,32,0.2535771131515503,607203,151675,97.43955126,0.05,0.0001
612,18858,999.7,32,0.0595083124935627,611203,152675,105.31502279,0.05,0.0001
616,18975,999.7,32,0.13605594635009766,615203,153675,114.06482473000001,0.05,0.0001
620,19093,999.7,32,0.42344728112220764,619203,154675,119.02378218999998,0.05,0.0001
624,19212,999.7,32,0.17590956389904022,623203,155675,131.94396439,0.05,0.0001
628,19403,999.7,32,0.21104229986667633,627203,156675,142.21105694,0.05,0.0001
632,19522,999.7,32,0.3546818792819977,631203,157675,154.11032643,0.05,0.0001
636,19642,999.7,32,0.21248169243335724,635203,158675,161.73573136,0.05,0.0001
640,19762,999.7,32,0.09470076858997345,639203,159675,168.74749572000002,0.05,0.0001
644,19881,999.7,32,0.06090013310313225,643203,160675,179.86338652999996,0.05,0.0001
648,20000,999.7,32,0.12825387716293335,647203,161675,181.86096890999997,0.05,0.0001
652,20202,999.7,32,0.19705022871494293,651203,162675,183.90237856999997,0.05,0.0001
656,20321,999.7,32,0.02726834826171398,655203,163675,188.76827320000004,0.05,0.0001
660,20439,999.7,32,0.15005385875701904,659203,164675,188.97589361,0.05,0.0001
664,20559,999.7,32,0.13987693190574646,663203,165675,192.43619949999996,0.05,0.0001
668,20677,999.7,32,0.11504581570625305,667203,166675,196.20624881,0.05,0.0001
672,20796,999.7,32,0.10486751794815063,671203,167675,203.8310615,0.05,0.0001
676,20989,999.7,32,0.19531649351119995,675203,168675,214.95726631999997,0.05,0.0001
680,21108,999.7,32,0.4214986264705658,679203,169675,213.40797041999997,0.05,0.0001
684,21228,999.7,32,0.31770774722099304,683203,170675,215.04926188999997,0.05,0.0001
688,21348,999.7,32,0.2780171036720276,687203,171675,217.51608273000002,0.05,0.0001
692,21467,1000.0,32,0.12090931087732315,691203,172675,221.19548129000003,0.05,0.0001
696,21586,1000.0,32,0.05698736011981964,695203,173675,221.24441287,0.05,0.0001
700,21705,1000.0,32,0.3820078372955322,699203,174675,221.65515769999993,0.05,0.0001
704,21900,1000.0,32,0.19449107348918915,703203,175675,223.49287628,0.05,0.0001
708,22021,1000.0,32,0.14630311727523804,707203,176675,225.87726259999997,0.05,0.0001
712,22140,1000.0,32,0.1623896062374115,711203,177675,225.72308894000003,0.05,0.0001
716,22259,1000.0,32,0.17831392586231232,715203,178675,219.34982127999996,0.05,0.0001
720,22378,1000.0,32,0.11105045676231384,719203,179675,216.87658099,0.05,0.0001
724,22497,1000.0,32,0.28838053345680237,723203,180675,211.25946534000002,0.05,0.0001
728,22690,1000.0,32,0.13572841882705688,727203,181675,202.42262569000002,0.05,0.0001
732,22810,1000.0,32,0.10646993666887283,731203,182675,195.84629212,0.05,0.0001
736,22930,1000.0,32,0.11014632880687714,735203,183675,196.11577927,0.05,0.0001
740,23050,1000.0,32,0.20262247323989868,739203,184675,192.65127297000004,0.05,0.0001
744,23170,1000.0,32,0.30130520462989807,743203,185675,187.72520285,0.05,0.0001
748,23289,1000.0,32,0.05017233267426491,747203,186675,178.73650316000004,0.05,0.0001
752,23483,1000.0,31,0.09522601962089539,751203,187675,171.94922433000008,0.05,0.0001
756,23601,1000.0,31,0.17692536115646362,755203,188675,168.060796,0.05,0.0001
760,23719,1000.0,32,0.3202858567237854,759203,189675,169.82571162,0.05,0.0001
764,23839,1000.0,32,0.1779070496559143,763203,190675,171.97330037999996,0.05,0.0001
768,23958,1000.0,32,0.07566729187965393,767203,191675,173.89731696999996,0.05,0.0001
772,24080,1000.0,32,0.2830149233341217,771203,192675,172.51415003,0.05,0.0001
776,24274,1000.0,31,0.07008739560842514,775203,193675,164.58864235000001,0.05,0.0001
780,24394,1000.0,31,0.043298348784446716,779203,194675,154.17957954,0.05,0.0001
784,24514,1000.0,31,0.09627995640039444,783203,195675,142.91240484,0.05,0.0001
788,24633,1000.0,31,0.15643401443958282,787203,196675,142.26499663,0.05,0.0001
792,24752,1000.0,31,0.10798707604408264,791203,197675,150.04673834999997,0.05,0.0001
796,24871,1000.0,31,0.09991136193275452,795203,198675,145.25798205,0.05,0.0001
800,24988,1000.0,31,0.060183439403772354,799203,199675,145.27155079000002,0.05,0.0001
804,25181,1000.0,31,0.15208889544010162,803203,200675,152.07391621,0.05,0.0001
808,25299,1000.0,31,0.15010878443717957,807203,201675,150.19289545,0.05,0.0001
812,25417,1000.0,31,0.1412801444530487,811203,202675,142.82938537,0.05,0.0001
816,25536,1000.0,31,0.0996926948428154,815203,203675,148.47962816999998,0.05,0.0001
820,25655,1000.0,31,0.20977450907230377,819203,204675,152.15212402,0.05,0.0001
824,25774,1000.0,31,0.16941656172275543,823203,205675,153.49589074,0.05,0.0001
828,25972,1000.0,31,0.09079983085393906,827203,206675,159.15262798,0.05,0.0001
832,26092,1000.0,31,0.12245739996433258,831203,207675,168.43114109,0.05,0.0001
836,26214,1000.0,31,0.07768338173627853,835203,208675,168.60226088,0.05,0.0001
840,26334,1000.0,31,0.21810458600521088,839203,209675,176.28316918000002,0.05,0.0001
844,26454,1000.0,31,0.2553292214870453,843203,210675,185.07929126,0.05,0.0001
848,26574,1000.0,31,0.22430188953876495,847203,211675,196.36816455999997,0.05,0.0001
852,26769,1000.0,31,0.23570582270622253,851203,212675,198.59687224,0.05,0.0001
856,26888,1000.0,31,0.30877047777175903,855203,213675,205.85920513999997,0.05,0.0001
860,27007,1000.0,31,0.05970258638262749,859203,214675,206.67314028,0.05,0.0001
864,27126,1000.0,31,0.12425410747528076,863203,215675,199.715087,0.05,0.0001
868,27246,1000.0,31,0.20617227256298065,867203,216675,204.43177576000002,0.05,0.0001
872,27366,1000.0,31,0.1716996431350708,871203,217675,204.62014164,0.05,0.0001
876,27562,1000.0,31,0.14923173189163208,875203,218675,202.12088488999999,0.05,0.0001
880,27682,1000.0,31,0.044478826224803925,879203,219675,205.67526357,0.05,0.0001
884,27802,1000.0,31,0.15860699117183685,883203,220675,208.91252075,0.05,0.0001
888,27923,1000.0,31,0.0772252157330513,887203,221675,206.00034785,0.05,0.0001
892,28045,1000.0,31,0.06646297127008438,891203,222675,201.59399731000002,0.05,0.0001
896,28166,1000.0,31,0.246393620967865,895203,223675,205.21721269000003,0.05,0.0001
900,28286,1000.0,31,0.25494471192359924,899203,224675,200.19685905000003,0.05,0.0001
904,28481,1000.0,31,0.21775107085704803,903203,225675,189.57610138999993,0.05,0.0001
908,28600,1000.0,31,0.27786368131637573,907203,226675,189.85036871999998,0.05,0.0001
912,28719,1000.0,31,0.30659234523773193,911203,227675,197.83702208999995,0.05,0.0001
916,28839,1000.0,31,0.10410706698894501,915203,228675,198.82227362999998,0.05,0.0001
920,28960,1000.0,31,0.09616762399673462,919203,229675,194.66233369999998,0.05,0.0001
924,29080,1000.0,31,0.24799983203411102,923203,230675,194.86973358,0.05,0.0001
928,29276,1000.0,31,0.12439104169607162,927203,231675,193.02068812,0.05,0.0001
932,29396,1000.0,31,0.32236364483833313,931203,232675,191.40148678999998,0.05,0.0001
936,29515,1000.0,31,0.5546777248382568,935203,233675,192.40170704999997,0.05,0.0001
940,29635,1000.0,31,0.17436209321022034,939203,234675,186.87182208,0.05,0.0001
944,29754,1000.0,31,0.10496725887060165,943203,235675,183.00163121000003,0.05,0.0001
948,29872,1000.0,31,0.020873475819826126,947203,236675,174.54849993,0.05,0.0001
952,30067,1000.0,31,0.16340623795986176,951203,237675,175.42396399,0.05,0.0001
956,30186,1000.0,31,0.07464179396629333,955203,238675,167.66280758000002,0.05,0.0001
960,30304,1000.0,31,0.10518226027488708,959203,239675,160.60379851,0.05,0.0001
964,30421,1000.0,31,0.11376643180847168,963203,240675,164.77985217000003,0.05,0.0001
968,30540,1000.0,31,0.04432890936732292,967203,241675,152.25088053,0.05,0.0001
972,30658,1000.0,31,0.08718462288379669,971203,242675,157.27776929,0.05,0.0001
976,30851,1000.0,31,0.1497732251882553,975203,243675,160.22249334000003,0.05,0.0001
980,30969,1000.0,31,0.24286676943302155,979203,244675,170.82767177999997,0.05,0.0001
984,31089,1000.0,31,0.08247106522321701,983203,245675,174.37353865,0.05,0.0001
988,31207,1000.0,31,0.0631076991558075,987203,246675,173.01203235,0.05,0.0001
992,31324,1000.0,31,0.11366771161556244,991203,247675,168.17702041999996,0.05,0.0001
996,31443,1000.0,31,0.059002071619033813,995203,248675,164.93053834,0.05,0.0001
1000,31562,1000.0,31,0.16607075929641724,999203,249675,161.71257259,0.05,0.0001
