time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/value_loss
14,123,1000.0,653312,355.8055011099999,16920,-0.8354089496657252,0.9844689918681979,0.039528396,-0.014729616283148061,0.2,0.0003,3180,0.23212890625,0.30733394622802734,1.7809504357166588
14,124,1000.0,655360,359.29787865,17107,-1.0563463853672146,0.9901496917009354,0.046822738,-0.019402162516780664,0.2,0.0003,3190,0.308984375,0.16356521844863892,0.9318241003900767
14,125,1000.0,657408,358.33810813,17289,-0.8547526402398944,0.9827983099967241,0.043134987,-0.01923593084793538,0.2,0.0003,3200,0.26103515625,0.1364312767982483,1.6895645881071686
14,126,1000.0,659456,356.19909398,17471,-0.5508445639163255,0.9233972877264023,0.047256008,-0.009844015646376648,0.2,0.0003,3210,0.235791015625,0.5784775018692017,2.775009718537331
14,127,1000.0,661504,355.88499085,17649,-0.8518378807231783,0.9796136990189552,0.050097987,-0.018065391301206546,0.2,0.0003,3220,0.2921875,0.21819719672203064,1.9930858968757093
14,128,1000.0,663552,356.78815625000004,17824,-0.8779084229841828,0.9840272590517998,0.057152614,-0.01799819951702375,0.2,0.0003,3230,0.29208984375,0.218850776553154,1.4742534727789463
14,129,1000.0,665600,362.46426524000003,18001,-0.6810879107564688,0.9812466222792864,0.053307068,-0.018106653541326522,0.2,0.0003,3240,0.2306640625,0.3596166968345642,1.8467422297224403
14,130,1000.0,667648,356.3252154,18176,-0.6155599385499955,0.9609719552099705,0.045241214,-0.0139665475289803,0.2,0.0003,3250,0.2693359375,0.4155569076538086,2.6485869535245
14,131,1000.0,669696,354.68251731000004,18349,-1.0379771711304784,0.9837432913482189,0.06823201,-0.027742164373921695,0.2,0.0003,3260,0.30576171875,0.019342567771673203,0.58100862049032
14,132,1000.0,671744,361.81419682,18521,-0.9299680748954415,0.9884428791701794,0.04255857,-0.026677061685768423,0.2,0.0003,3270,0.311181640625,0.1540074199438095,0.8389025757089257
14,133,1000.0,673792,360.86065119,18690,-0.6839940201491117,0.954498365521431,0.04919649,-0.006243826409627218,0.2,0.0003,3280,0.2927734375,0.2941325902938843,2.966944866254926
14,134,1000.0,675840,365.8008645899999,19125,-0.8595973057672381,0.9808971006423235,0.037978515,-0.017243348732881712,0.2,0.0003,3290,0.264990234375,0.2771032750606537,2.168958694767207
14,135,1000.0,677888,364.59824109,19297,-0.9164832701906562,0.9845194639638066,0.04878612,-0.020425121147127356,0.2,0.0003,3300,0.290380859375,0.33792251348495483,1.4058690536301583
14,136,1000.0,679936,366.93624026000003,19474,-0.7785677745938301,0.9817542433738708,0.051189683,-0.01725963356802822,0.2,0.0003,3310,0.26572265625,0.29999372363090515,2.0358204853720965
14,137,1000.0,681984,371.25949695,19641,-0.9695669746026396,0.9848081776872277,0.048965633,-0.023935985138814432,0.2,0.0003,3320,0.328369140625,0.11910264194011688,1.0635229958686978
14,138,1000.0,684032,380.9951035299999,19812,-0.7163181934505701,0.9736737236380577,0.040911965,-0.016248529540462187,0.2,0.0003,3330,0.25888671875,0.2586846649646759,2.5253841736353935
14,139,1000.0,686080,373.67499182,19982,-0.8217430293560029,0.9856926947832108,0.036334515,-0.01572832570236642,0.2,0.0003,3340,0.269384765625,0.16307346522808075,2.2843382393941285
14,140,1000.0,688128,375.41137304000006,20155,-1.119466699101031,0.9899293454363942,0.036096383,-0.019297774416190804,0.2,0.0003,3350,0.295068359375,0.09797526150941849,0.4466505072079599
14,141,996.29,690176,377.19532196000006,20326,-0.9179178239777684,0.9899252885952592,0.05619622,-0.01410063699586317,0.2,0.0003,3360,0.27412109375,0.14460934698581696,0.9781219742726535
14,142,996.29,692224,381.0475116000001,20504,-0.7289718613028526,0.8991405442357063,0.24135423,0.04401176457322435,0.2,0.0003,3370,0.319482421875,0.42118486762046814,8.771883357688784
14,143,996.29,694272,376.99333078999996,20681,-0.6587043043226004,0.937900684773922,0.055661477,-0.014767400556593202,0.2,0.0003,3380,0.3107421875,0.6899784207344055,5.251031949557364
14,144,996.29,696320,376.14608153999995,20857,-0.9697526164352894,0.9861663803458214,0.040678963,-0.021034808005788365,0.2,0.0003,3390,0.278271484375,0.19650781154632568,1.6506450199987739
14,145,996.29,698368,377.3554119499999,21030,-0.877132150158286,0.9860959937795997,0.052393407,-0.017505235472344793,0.2,0.0003,3400,0.286962890625,0.2736191749572754,1.8249312504194677
