rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance
991.75,412.6111656000001,95,5396,194560,36,0.0003,-0.5618596700020134,940,4.290103548951447,0.2,0.1837890625,-0.00393790806265315,0.044135697,0.8129742741584778,0.9677641987800598
991.75,412.0217300200001,96,5450,196608,36,0.0003,-0.709301065094769,950,7.1418128289282325,0.2,0.26572265625,-0.0003632151463534683,0.058279898,1.4536877870559692,0.9089236259460449
991.75,411.9355065,97,5517,198656,36,0.0003,-0.4809746226295829,960,6.425827754661441,0.2,0.220654296875,0.008866934242541901,0.04240471,1.096259355545044,0.9087425693869591
997.43,418.18697328999997,98,5664,200704,35,0.0003,-0.6521046445704997,970,5.804452030360698,0.2,0.233740234375,-0.00011236944847041741,0.053699642,2.140420436859131,0.958534199744463
999.68,420.33096854,99,5728,202752,35,0.0003,-0.4012507261708379,980,9.329915259033442,0.2,0.200390625,0.0013458746005198918,0.04815177,1.4339230060577393,0.880162924528122
999.68,421.4536563600001,100,5782,204800,35,0.0003,-0.381929977517575,990,8.849089331552387,0.2,0.189892578125,0.0005829520974657499,0.04164537,1.1823652982711792,0.8957079723477364
999.68,428.2920678600001,101,5834,206848,35,0.0003,-0.49357875203713775,1000,4.721052828617394,0.2,0.1935546875,-0.008079857807024382,0.025003875,1.0632081031799316,0.9668049365282059
999.68,437.99252507000006,102,5884,208896,35,0.0003,-0.38832501163706185,1010,9.617161712422966,0.2,0.2041015625,-0.0009357280418043956,0.062049475,1.156412959098816,0.7451595962047577
999.68,449.96881034000006,103,5935,210944,35,0.0003,-0.4139070251956582,1020,6.715783301927149,0.2,0.1822265625,0.0013724905911658425,0.031858444,1.0364460945129395,0.8899006992578506
999.68,461.81321012000006,104,5986,212992,35,0.0003,-0.47065923549234867,1030,5.192628186941147,0.2,0.225244140625,0.009186604802380316,0.04363475,0.9042295217514038,0.7647655010223389
999.68,469.98664982,105,6037,215040,35,0.0003,-0.49262231001630424,1040,5.396271298266948,0.2,0.241064453125,-0.006664185665431433,0.061743997,0.7959705591201782,0.9151104837656021
